Date,gossiping,hatepolitics,combined
2025-07-19,0.2981428169843186,0.09776310893507952,0.19091621735930786
2025-07-20,0.3036049803046573,0.07626815696705848,0.20326067509663076
2025-07-21,0.20604014477946198,0.03819758575811904,0.14796230546079686
2025-07-22,0.2588393304399424,0.10678166018616564,0.21013396870827017
2025-07-23,0.23059597639347243,0.07606782391096538,0.18080595971505725
2025-07-24,0.2523125118105664,0.10513488924474744,0.2058421242232781
2025-07-25,0.2322830390477668,0.10794051290792728,0.18796919859063302
2025-07-26,0.1520209060086682,0.0721321616704718,0.11441872175396922
2025-07-27,0.1362967789561936,0.03207310847902521,0.0872674518288207
2025-07-28,0.16810920621624478,0.06373087927380656,0.12321877476513456
2025-07-29,0.18539162586169936,0.06920565673576758,0.1401726103143414
2025-07-30,0.2382642829473683,0.11040174639680873,0.190386240626674
2025-07-31,0.19788175328813493,0.12597659221828045,0.1727671410955041
2025-08-01,0.20200975240104055,0.012154604161799244,0.13993752493915004
2025-08-02,0.2572902166790901,0.0825097194625111,0.20627125771850033
